Trial	Trial_type	D7	D7_actual	D12	D12_actual	Decision
1	comp1	23	16	I overthought.change my 7tb to 16 and the 12th is 30	68	No
2	comp2	 34	34	I have no idea. I tried for so long to figure tbis out. Way too long. I used to not be horrible at math... I think its two patterns alternating but im too dumb to figure it out	145	No
3	comp3	77	75	126	86	Yes
4	comp4	100	101	111	115	Yes
