block	trial_type	phase	turn	tokens	alpha	final_value	correct	stay	earnings	response_time
1.000000	i_113_a1.2	dec_learn	1.000000	21.000000	1.200000	113.000000	n/a	n/a	n/a	2.68
1.000000	i_113_a1.2	dec_learn	2.000000	39.000000	1.200000	113.000000	n/a	n/a	n/a	1.539
1.000000	i_113_a1.2	dec_leave	3.000000	53.000000	1.200000	113.000000	0	0	0	1.94
1.000000	i_113_a1.2	feedback	3	n/a	1.200000	113.000000	n/a	n/a	n/a	1.536
2.000000	i_84_a1.4	dec_learn	1.000000	25.000000	1.400000	84.000000	n/a	n/a	n/a	1.401
2.000000	i_84_a1.4	dec_learn	2.000000	42.000000	1.400000	84.000000	n/a	n/a	n/a	1.202
2.000000	i_84_a1.4	dec_learn	3.000000	55.000000	1.400000	84.000000	n/a	n/a	n/a	2.424
2.000000	i_84_a1.4	dec_leave	4.000000	64.000000	1.400000	84.000000	1	0	7	1.398
3.000000	i_113_a1.2	dec_learn	1.000000	21.000000	1.200000	113.000000	n/a	n/a	n/a	2.343
3.000000	i_113_a1.2	dec_learn	2.000000	39.000000	1.200000	113.000000	n/a	n/a	n/a	1.097
3.000000	i_113_a1.2	dec_learn	3.000000	53.000000	1.200000	113.000000	n/a	n/a	n/a	1.346
3.000000	i_113_a1.2	dec_leave	4.000000	66.000000	1.200000	113.000000	0	0	0	1.3
3.000000	i_113_a1.2	feedback	4	n/a	1.200000	113.000000	n/a	n/a	n/a	2.841
4.000000	e_59_a1.4	dec_learn	1.000000	0.000000	1.400000	59.000000	n/a	n/a	n/a	5.393
4.000000	e_59_a1.4	dec_learn	2.000000	1.000000	1.400000	59.000000	n/a	n/a	n/a	1.5
4.000000	e_59_a1.4	dec_learn	3.000000	2.000000	1.400000	59.000000	n/a	n/a	n/a	1.219
4.000000	e_59_a1.4	dec_learn	4.000000	3.000000	1.400000	59.000000	n/a	n/a	n/a	1.13
4.000000	e_59_a1.4	dec_learn	5.000000	5.000000	1.400000	59.000000	n/a	n/a	n/a	1.369
4.000000	e_59_a1.4	dec_leave	6.000000	7.000000	1.400000	59.000000	1	0	6	2.504
4.000000	e_59_a1.4	feedback	6	n/a	1.400000	59.000000	n/a	n/a	n/a	1.592
5.000000	e_78_a1.2	dec_learn	1.000000	2.000000	1.200000	78.000000	n/a	n/a	n/a	1.602
5.000000	e_78_a1.2	dec_learn	2.000000	4.000000	1.200000	78.000000	n/a	n/a	n/a	1.359
5.000000	e_78_a1.2	dec_learn	3.000000	7.000000	1.200000	78.000000	n/a	n/a	n/a	1.393
5.000000	e_78_a1.2	dec_learn	4.000000	11.000000	1.200000	78.000000	n/a	n/a	n/a	1
5.000000	e_78_a1.2	dec_stay	5.000000	15.000000	1.200000	78.000000	0	1	0	1.601
5.000000	e_78_a1.2	feedback	5	n/a	1.200000	78.000000	n/a	n/a	n/a	1.126
6.000000	i_116_a1.4	dec_learn	1.000000	34.000000	1.400000	116.000000	n/a	n/a	n/a	1.301
6.000000	i_116_a1.4	dec_learn	2.000000	58.000000	1.400000	116.000000	n/a	n/a	n/a	1.101
6.000000	i_116_a1.4	dec_learn	3.000000	75.000000	1.400000	116.000000	n/a	n/a	n/a	1.16
6.000000	i_116_a1.4	dec_leave	4.000000	87.000000	1.400000	116.000000	0	0	0	1.495
6.000000	i_116_a1.4	feedback	4	n/a	1.400000	116.000000	n/a	n/a	n/a	0.801
7.000000	e_127_a1.2	dec_learn	1.000000	3.000000	1.200000	127.000000	n/a	n/a	n/a	1.84
7.000000	e_127_a1.2	dec_learn	2.000000	7.000000	1.200000	127.000000	n/a	n/a	n/a	1.4
7.000000	e_127_a1.2	dec_learn	3.000000	12.000000	1.200000	127.000000	n/a	n/a	n/a	1.201
7.000000	e_127_a1.2	dec_learn	4.000000	17.000000	1.200000	127.000000	n/a	n/a	n/a	2.001
7.000000	e_127_a1.2	dec_stay	5.000000	24.000000	1.200000	127.000000	1	1	6.5	3.979
7.000000	e_127_a1.2	feedback	5	n/a	1.200000	127.000000	n/a	n/a	n/a	1.571
8.000000	i_88_a1.2	dec_learn	1.000000	16.000000	1.200000	88.000000	n/a	n/a	n/a	1.52
8.000000	i_88_a1.2	dec_learn	2.000000	30.000000	1.200000	88.000000	n/a	n/a	n/a	1.2
8.000000	i_88_a1.2	dec_learn	3.000000	42.000000	1.200000	88.000000	n/a	n/a	n/a	3.528
8.000000	i_88_a1.2	dec_leave	4.000000	51.000000	1.200000	88.000000	1	0	7	2.953
8.000000	i_88_a1.2	feedback	4	n/a	1.200000	88.000000	n/a	n/a	n/a	2.166
9.000000	i_84_a1.4	dec_learn	1.000000	25.000000	1.400000	84.000000	n/a	n/a	n/a	1.494
9.000000	i_84_a1.4	dec_learn	2.000000	42.000000	1.400000	84.000000	n/a	n/a	n/a	1.361
9.000000	i_84_a1.4	dec_learn	3.000000	55.000000	1.400000	84.000000	n/a	n/a	n/a	1.426
9.000000	i_84_a1.4	dec_leave	4.000000	64.000000	1.400000	84.000000	1	0	7	1.854
9.000000	i_84_a1.4	feedback	4	n/a	1.400000	84.000000	n/a	n/a	n/a	1.57
10.000000	e_127_a1.2	dec_learn	1.000000	3.000000	1.200000	127.000000	n/a	n/a	n/a	1.345
10.000000	e_127_a1.2	dec_learn	2.000000	7.000000	1.200000	127.000000	n/a	n/a	n/a	1.263
10.000000	e_127_a1.2	dec_learn	3.000000	12.000000	1.200000	127.000000	n/a	n/a	n/a	1.231
10.000000	e_127_a1.2	dec_learn	4.000000	17.000000	1.200000	127.000000	n/a	n/a	n/a	1.459
10.000000	e_127_a1.2	dec_leave	5.000000	24.000000	1.200000	127.000000	0	0	0	4.14
10.000000	e_127_a1.2	feedback	5	n/a	1.200000	127.000000	n/a	n/a	n/a	0.9
11.000000	e_166_a1.4	dec_learn	1.000000	1.000000	1.400000	166.000000	n/a	n/a	n/a	1.101
11.000000	e_166_a1.4	dec_learn	2.000000	3.000000	1.400000	166.000000	n/a	n/a	n/a	1.748
11.000000	e_166_a1.4	dec_learn	3.000000	5.000000	1.400000	166.000000	n/a	n/a	n/a	1.17
11.000000	e_166_a1.4	dec_learn	4.000000	9.000000	1.400000	166.000000	n/a	n/a	n/a	2.402
11.000000	e_166_a1.4	dec_leave	5.000000	13.000000	1.400000	166.000000	0	0	0	1.729
11.000000	e_166_a1.4	feedback	5	n/a	1.400000	166.000000	n/a	n/a	n/a	0.887
12.000000	i_116_a1.4	dec_learn	1.000000	34.000000	1.400000	116.000000	n/a	n/a	n/a	1.279
12.000000	i_116_a1.4	dec_learn	2.000000	58.000000	1.400000	116.000000	n/a	n/a	n/a	1.128
12.000000	i_116_a1.4	dec_leave	3.000000	75.000000	1.400000	116.000000	0	0	0	2.157
12.000000	i_116_a1.4	feedback	3	n/a	1.400000	116.000000	n/a	n/a	n/a	0.73
13.000000	e_59_a1.4	dec_learn	1.000000	0.000000	1.400000	59.000000	n/a	n/a	n/a	2.23
13.000000	e_59_a1.4	dec_learn	2.000000	1.000000	1.400000	59.000000	n/a	n/a	n/a	1.101
13.000000	e_59_a1.4	dec_learn	3.000000	2.000000	1.400000	59.000000	n/a	n/a	n/a	1.039
13.000000	e_59_a1.4	dec_leave	4.000000	3.000000	1.400000	59.000000	1	0	7	1.668
13.000000	e_59_a1.4	feedback	4	n/a	1.400000	59.000000	n/a	n/a	n/a	1.668
14.000000	e_78_a1.2	dec_learn	1.000000	2.000000	1.200000	78.000000	n/a	n/a	n/a	1.433
14.000000	e_78_a1.2	dec_learn	2.000000	4.000000	1.200000	78.000000	n/a	n/a	n/a	1.301
14.000000	e_78_a1.2	dec_learn	3.000000	7.000000	1.200000	78.000000	n/a	n/a	n/a	1.684
14.000000	e_78_a1.2	dec_learn	4.000000	11.000000	1.200000	78.000000	n/a	n/a	n/a	1.399
14.000000	e_78_a1.2	dec_leave	5.000000	15.000000	1.200000	78.000000	1	0	6.5	1.384
