Trial	Trial_type	D7	D7_actual	D12	D12_actual	Decision
1	comp1	24	16	100	68	Yes
2	comp2	I hate it	34	Epsetin didn't kill himself	145	No
3	comp3	78	75	foo schnickens	86	Yes
4	comp4	105	101	yo momma	115	Yes
