Trial	Trial_type	D7	D7_actual	D12	D12_actual	Decision
1	comp1	Idk	16	Idk	68	No
2	comp2	Isk	34	Idk	145	No
3	comp3	Idk	75	Idk	86	No
4	comp4	Idk	101	Idk	115	No
