Zipcode,Irrev1,Irrev2,County,State,Irrev3,Irrev4,Alpha,Gamma
46057,40.333772,-86.38161,Clinton County,IN,18023,H1,0.628075923,0.429413858
46058,40.349135,-86.66424,Clinton County,IN,18023,H1,0.628075923,0.429413858
46067,40.304473,-86.469044,Clinton County,IN,18023,H1,0.628075923,0.429413858
76526,31.295568,-97.582152,Coryell County,TX,48099,H1,0.620775941,0.429685719
76538,31.629515,-97.90249,Coryell County,TX,48099,H1,0.620775941,0.429685719
76558,31.351386,-97.644352,Coryell County,TX,48099,H1,0.620775941,0.429685719
76566,31.506687,-97.98997,Coryell County,TX,48099,H1,0.620775941,0.429685719
76596,31.390196,-97.799309,Coryell County,TX,48099,H1,0.620775941,0.429685719
76597,31.390196,-97.799309,Coryell County,TX,48099,H1,0.620775941,0.429685719
76598,31.390196,-97.799309,Coryell County,TX,48099,H1,0.620775941,0.429685719
76599,31.470598,-97.734728,Coryell County,TX,48099,H1,0.620775941,0.429685719
45070,39.588878,-84.55562,Preble County,OH,39135,H1,0.617982862,0.429700855
45311,39.629735,-84.67557,Preble County,OH,39135,H1,0.617982862,0.429700855
45320,39.739353,-84.65393,Preble County,OH,39135,H1,0.617982862,0.429700855
45321,39.888717,-84.67216,Preble County,OH,39135,H1,0.617982862,0.429700855
45330,39.647494,-84.52749,Preble County,OH,39135,H1,0.617982862,0.429700855
45378,39.903161,-84.48822,Preble County,OH,39135,H1,0.617982862,0.429700855
58033,46.449141,-97.91961,Ransom County,ND,38073,H1,0.642017821,0.4302138
58054,46.43383,-97.67678,Ransom County,ND,38073,H1,0.642017821,0.4302138
26801,39.084895,-78.779,Hardy County,WV,54031,H1,0.620239139,0.430217372
26810,38.973027,-78.73978,Hardy County,WV,54031,H1,0.620239139,0.430217372
26812,38.878002,-78.88245,Hardy County,WV,54031,H1,0.620239139,0.430217372
26818,39.068317,-79.01717,Hardy County,WV,54031,H1,0.620239139,0.430217372
26845,39.184315,-78.9458,Hardy County,WV,54031,H1,0.620239139,0.430217372
26851,39.066543,-78.6218,Hardy County,WV,54031,H1,0.620239139,0.430217372
30132,33.945735,-84.84463,Paulding County,GA,13223,H1,0.588657275,0.431444638
56715,47.808866,-95.97713,Red Lake County,MN,27125,H1,0.6086108,0.431952468
56748,47.915369,-96.02739,Red Lake County,MN,27125,H1,0.6086108,0.431952468
31547,30.804684,-81.627717,Camden County,GA,13039,H1,0.667560357,0.432069732
31548,30.793409,-81.68428,Camden County,GA,13039,H1,0.667560357,0.432069732
31558,30.761081,-81.56912,Camden County,GA,13039,H1,0.667560357,0.432069732
31565,31.066479,-81.62656,Camden County,GA,13039,H1,0.667560357,0.432069732
31568,31.003385,-81.79512,Camden County,GA,13039,H1,0.667560357,0.432069732
31569,30.915778,-81.67924,Camden County,GA,13039,H1,0.667560357,0.432069732
66851,38.228452,-96.92825,Marion County,KS,20115,H1,0.603237793,0.432090536
66858,38.473549,-96.95611,Marion County,KS,20115,H1,0.603237793,0.432090536
66861,38.359189,-97.01768,Marion County,KS,20115,H1,0.603237793,0.432090536
67053,38.246972,-97.34817,Marion County,KS,20115,H1,0.603237793,0.432090536
67063,38.347058,-97.21489,Marion County,KS,20115,H1,0.603237793,0.432090536
